Price,Levy,Manufacturer,Category,Leather interior,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Airbags,Turbo,Age,Category_encoded,GearBox_encoded,Manufacturer_encoded,Drive_4x4,Drive_Front,Drive_Rear
13328,1399.0,LEXUS,Jeep,1,3.5,186005,6.0,Automatic,4x4,12,0,15,7,3,3,True,False,False
16621,1018.0,CHEVROLET,Jeep,0,3.0,192000,6.0,Tiptronic,4x4,8,0,14,7,4,3,True,False,False
8467,691.0,HONDA,Hatchback,0,1.3,200000,4.0,Variator,Front,2,0,19,2,2,2,False,True,False
3607,862.0,FORD,Jeep,1,2.5,168966,4.0,Automatic,4x4,0,0,14,7,3,3,True,False,False
11726,446.0,HONDA,Hatchback,1,1.3,91901,4.0,Automatic,Front,4,0,11,2,3,2,False,True,False
39493,891.0,HYUNDAI,Jeep,1,2.0,160931,4.0,Automatic,Front,4,0,9,7,3,4,False,True,False
26657,1172.0,LEXUS,Jeep,1,3.5,128500,6.0,Automatic,4x4,12,0,18,7,3,3,True,False,False
7683,810.0,HYUNDAI,Sedan,1,1.8,121840,4.0,Automatic,Front,12,0,9,3,3,4,False,True,False
28382,810.0,HYUNDAI,Sedan,1,1.8,54317,4.0,Automatic,Front,4,0,9,3,3,4,False,True,False
18826,531.0,HYUNDAI,Sedan,1,1.6,112645,4.0,Automatic,Front,4,0,13,3,3,4,False,True,False
20698,586.0,TOYOTA,Sedan,1,1.8,187000,4.0,Automatic,Front,12,0,13,3,3,3,False,True,False
17562,1249.0,TOYOTA,Sedan,1,2.5,39709,4.0,Automatic,Front,12,0,8,3,3,3,False,True,False
20385,872.0,MERCEDES-BENZ,Sedan,1,2.2,210000,4.0,Tiptronic,Rear,8,1,19,3,4,3,False,False,True
14454,583.0,HYUNDAI,Sedan,1,1.6,158787,4.0,Automatic,Front,4,0,14,3,3,4,False,True,False
15681,1288.0,MERCEDES-BENZ,Goods wagon,0,2.0,180000,6.0,Manual,Rear,4,1,18,1,1,3,False,False,True
19444,915.0,PORSCHE,Jeep,1,3.0,175056,6.0,Automatic,4x4,12,0,11,7,3,4,True,False,False
24462,919.0,JEEP,Jeep,1,3.0,250000,6.0,Tiptronic,4x4,10,1,18,7,4,5,True,False,False
23235,707.0,HYUNDAI,Jeep,1,2.0,162000,4.0,Automatic,Front,4,0,14,7,3,4,False,True,False
7527,1486.0,HONDA,Hatchback,0,1.3,158000,4.0,Automatic,Front,4,0,15,2,3,2,False,True,False
19121,531.0,HYUNDAI,Sedan,1,1.6,103490,4.0,Automatic,Front,4,0,13,3,3,4,False,True,False
24462,751.0,TOYOTA,Sedan,1,2.4,203200,4.0,Automatic,Front,4,0,12,3,3,3,False,True,False
45734,1091.0,HYUNDAI,Universal,1,2.5,61057,4.0,Automatic,Front,4,0,9,6,3,4,False,True,False
20165,650.0,VOLKSWAGEN,Sedan,1,1.4,11200,4.0,Tiptronic,Front,8,1,9,3,4,2,False,True,False
21326,382.0,HYUNDAI,Sedan,1,2.4,141000,4.0,Tiptronic,Front,12,0,11,3,4,4,False,True,False
15681,503.0,TOYOTA,Hatchback,0,1.5,128000,4.0,Variator,Front,8,0,13,2,2,3,False,True,False
12544,552.0,TOYOTA,Hatchback,0,1.5,141500,4.0,Automatic,Front,8,0,13,2,3,3,False,True,False
17249,1246.0,FORD,Jeep,0,2.3,147000,4.0,Variator,4x4,8,0,17,7,2,3,True,False,False
34889,891.0,HONDA,Sedan,1,2.0,87768,4.0,Automatic,Front,4,0,9,3,3,2,False,True,False
14583,784.0,RENAULT,Sedan,0,1.5,132542,4.0,Manual,Front,10,1,17,3,1,2,False,True,False
8781,836.0,MERCEDES-BENZ,Coupe,0,2.0,260000,4.0,Manual,Rear,0,0,24,4,1,3,False,False,True
23521,781.0,CHEVROLET,Sedan,0,1.4,22000,4.0,Automatic,Front,6,1,7,3,3,3,False,True,False
16935,530.0,FORD,Sedan,0,1.6,83000,4.0,Tiptronic,Front,8,1,12,3,4,3,False,True,False
7213,530.0,NISSAN,Jeep,1,1.6,312118,4.0,Automatic,Front,0,0,12,7,3,2,False,True,False
5331,629.0,MERCEDES-BENZ,Sedan,0,1.6,130000,4.0,Tiptronic,Front,6,0,21,3,4,3,False,True,False
20526,640.0,HYUNDAI,Jeep,1,2.0,200279,4.0,Automatic,Front,4,0,12,7,3,4,False,True,False
34657,777.0,HYUNDAI,Minivan,1,2.5,154672,4.0,Automatic,Front,4,0,11,9,3,4,False,True,False
36564,1091.0,HYUNDAI,Minivan,1,2.5,110969,4.0,Automatic,Front,4,0,9,9,3,4,False,True,False
5488,552.0,TOYOTA,Hatchback,0,1.5,210000,4.0,Manual,Front,3,0,24,2,1,3,False,True,False
30063,934.0,HYUNDAI,Universal,1,2.5,148105,4.0,Automatic,Front,4,0,10,6,3,4,False,True,False
15800,769.0,CHEVROLET,Jeep,1,2.2,255456,4.0,Automatic,Front,4,0,14,7,3,3,False,True,False
43952,1249.0,HYUNDAI,Universal,1,2.5,111643,4.0,Automatic,Front,4,0,8,6,3,4,False,True,False
14740,645.0,TOYOTA,Hatchback,0,1.8,288000,4.0,Automatic,Front,8,0,14,2,3,3,False,True,False
42337,1246.0,FORD,Cabriolet,1,2.3,75000,4.0,Tiptronic,Rear,6,1,9,8,4,3,False,False,True
3763,1053.0,MERCEDES-BENZ,Jeep,1,3.5,94362,6.0,Automatic,Rear,12,0,11,7,3,3,False,False,True
18189,586.0,TOYOTA,Sedan,0,1.8,175000,4.0,Automatic,Front,8,0,13,3,3,3,False,True,False
5645,1324.0,TOYOTA,Jeep,1,3.3,264877,6.0,Automatic,4x4,12,0,15,7,3,3,True,False,False
7527,830.0,TOYOTA,Sedan,1,1.5,27656,4.0,Automatic,Front,12,0,6,3,3,3,False,True,False
21953,1187.0,HONDA,Sedan,0,1.4,16000,8.0,Automatic,4x4,10,0,11,3,3,2,True,False,False
21953,781.0,TOYOTA,Sedan,0,2.5,195053,4.0,Automatic,Front,0,0,13,3,3,3,False,True,False
19121,531.0,HYUNDAI,Sedan,1,1.6,121362,4.0,Automatic,Front,4,0,13,3,3,4,False,True,False
